"TV" "radio" "newspaper" "sales"
250.9 36.5 72.3 22.2
116 7.7 23.1 11
18.7 12.1 23.4 6.7
230.1 37.8 69.2 22.1
210.7 29.5 9.3 18.4
225.8 8.2 56.5 13.4
199.8 3.1 34.6 11.4
44.5 39.3 45.1 10.4
31.5 24.6 2.2 9.5
219.8 33.5 45.1 19.6
149.7 35.6 6 17.3
280.2 10.1 21.4 14.8
90.4 0.3 23.2 8.7
184.9 21 22 15.5
4.1 11.6 5.7 3.2
195.4 47.7 52.9 22.4
177 9.3 6.4 12.8
280.7 13.9 37 16.1
62.3 12.6 18.3 9.7
5.4 29.9 9.4 5.3
187.8 21.1 9.5 15.6
216.4 41.7 39.6 22.6
59.6 12 43.1 9.7
28.6 1.5 33 7.3
102.7 29.6 8.4 14
8.7 48.9 75 7.2
198.9 49.4 60 23.7
19.6 20.1 17 7.6
240.1 7.3 8.7 13.2
171.3 39.7 37.7 19
97.2 1.5 30 9.6
197.6 23.3 14.2 16.6
117.2 14.7 5.4 11.9
44.7 25.8 20.6 10.1
163.5 36.8 7.4 18
273.7 28.9 59.7 20.8
227.2 15.8 49.9 14.8
193.7 35.4 75.6 19.2
262.7 28.8 15.9 20.2
281.4 39.6 55.8 24.4
248.4 30.2 20.3 20.2
214.7 24 4 17.4
287.6 43 71.8 26.2
239.3 15.5 27.3 15.7
293.6 27.7 1.8 20.7
76.4 26.7 22.3 11.8
17.9 37.6 21.6 8
88.3 25.5 73.4 12.9
224 2.4 15.6 11.6
188.4 18.1 25.6 14.9
